game_date,away_team,home_team,away_probable_pitcher,home_probable_pitcher,away_score,home_score,home_win,game_pk
2024-03-28T19:05:00Z,Los Angeles Angels,Baltimore Orioles,Patrick Sandoval,Corbin Burnes,3,11,1,747060
2024-03-28T20:10:00Z,Washington Nationals,Cincinnati Reds,Josiah Gray,Frankie Montas,2,8,1,746737
2024-03-28T20:10:00Z,San Francisco Giants,San Diego Padres,Logan Webb,Yu Darvish,4,6,1,745445
2024-03-28T20:10:00Z,St. Louis Cardinals,Los Angeles Dodgers,Miles Mikolas,Tyler Glasnow,1,7,1,746165
2024-03-28T20:10:00Z,Toronto Blue Jays,Tampa Bay Rays,José Berríos,Zach Eflin,8,2,0,745116
2024-03-28T20:10:00Z,Minnesota Twins,Kansas City Royals,Pablo López,Cole Ragans,4,1,0,746335
2024-03-28T20:10:00Z,Detroit Tigers,Chicago White Sox,Tarik Skubal,Garrett Crochet,1,0,0,746821
2024-03-28T20:10:00Z,Pittsburgh Pirates,Miami Marlins,Mitch Keller,Jesús Luzardo,6,5,0,746089
2024-03-28T20:10:00Z,New York Yankees,Houston Astros,Nestor Cortes,Framber Valdez,5,4,0,746418
2024-03-28T23:35:00Z,Chicago Cubs,Texas Rangers,Justin Steele,Nathan Eovaldi,3,4,1,745039
2024-03-29T02:07:00Z,Cleveland Guardians,Oakland Athletics,Shane Bieber,Alex Wood,8,0,0,745687
2024-03-29T02:10:00Z,Colorado Rockies,Arizona Diamondbacks,Kyle Freeland,Zac Gallen,1,16,1,747224
2024-03-29T02:10:00Z,Boston Red Sox,Seattle Mariners,Brayan Bello,Luis Castillo,6,4,0,745283
2024-03-29T17:40:00Z,Milwaukee Brewers,New York Mets,Freddy Peralta,Jose Quintana,3,1,0,745848
2024-03-29T19:05:00Z,Atlanta Braves,Philadelphia Phillies,Spencer Strider,Zack Wheeler,9,3,0,745604
2024-03-29T22:50:00Z,Toronto Blue Jays,Tampa Bay Rays,Chris Bassitt,Aaron Civale,2,8,1,745117
2024-03-29T23:10:00Z,Pittsburgh Pirates,Miami Marlins,Martín Pérez,A.J. Puk,7,2,0,746091
2024-03-30T00:10:00Z,New York Yankees,Houston Astros,Carlos Rodón,Cristian Javier,7,1,0,746412
2024-03-30T01:40:00Z,Colorado Rockies,Arizona Diamondbacks,Cal Quantrill,Merrill Kelly,3,7,1,747223
2024-03-30T01:40:00Z,Cleveland Guardians,Oakland Athletics,Logan Allen,Ross Stripling,6,4,0,745682
2024-03-30T01:40:00Z,Boston Red Sox,Seattle Mariners,Nick Pivetta,George Kirby,0,1,1,745276
2024-03-30T01:40:00Z,San Francisco Giants,San Diego Padres,Kyle Harrison,Joe Musgrove,8,3,0,745435
2024-03-30T02:10:00Z,St. Louis Cardinals,Los Angeles Dodgers,Zack Thompson,Bobby Miller,3,6,1,746167
