pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
622250,96.6,97.8,-9.0,2
570632,94.75,107.7,38.0,2
664350,94.5,100.0,5.0,5
668933,93.91304347826087,107.7,8.869565217391305,23
669796,93.42500000000001,103.9,29.75,4
656271,92.5,100.1,21.25,8
607536,92.37272727272727,115.0,10.954545454545455,22
543475,91.075,101.9,21.0,4
593576,90.51666666666667,107.0,-2.0,6
676962,90.46666666666667,111.7,15.933333333333334,15
642397,90.25,101.1,22.5,2
622766,89.83333333333333,100.6,25.333333333333332,6
605288,89.77777777777777,102.3,18.22222222222222,18
656793,89.7,99.6,8.0,4
683627,89.58500000000001,108.3,17.6,20
667755,89.55882352941177,107.7,8.882352941176471,17
621366,89.525,99.4,2.25,4
592773,89.14444444444445,109.6,34.0,9
621363,89.1375,109.3,23.375,16
657240,89.0923076923077,110.2,17.846153846153847,13
543766,89.08235294117648,111.5,20.294117647058822,17
669395,88.85,100.9,21.75,4
681402,88.71428571428571,103.6,23.0,7
608344,88.70645161290322,108.0,17.225806451612904,31
621097,88.60000000000001,105.5,22.714285714285715,7
661403,88.2421052631579,109.7,15.789473684210526,19
642100,88.16,99.4,17.4,5
670871,88.04375,105.3,22.5,16
621016,88.0,108.5,15.45,20
656232,87.92,105.1,5.25,20
663704,87.87333333333332,108.9,14.6,15
554340,87.86666666666667,100.4,39.666666666666664,6
686613,87.796,108.3,13.04,25
506433,87.71785714285714,113.2,11.928571428571429,28
623352,87.6923076923077,109.4,10.538461538461538,13
682243,87.60909090909091,108.4,19.272727272727273,22
664875,87.46153846153847,101.8,11.615384615384615,13
472610,87.38333333333333,102.7,5.166666666666667,6
593934,87.35,91.4,6.0,2
666818,87.30000000000001,102.7,-2.111111111111111,9
543339,87.2875,112.0,21.25,8
607200,87.19333333333334,113.3,3.966666666666667,30
650893,87.17142857142856,111.1,19.571428571428573,21
621383,87.08333333333333,107.0,25.666666666666668,6
641149,87.02000000000001,105.4,24.0,10
666200,86.94193548387096,114.6,22.903225806451612,31
621244,86.87200000000001,108.2,10.32,25
623433,86.825,103.9,-0.125,8
669203,86.78648648648648,110.2,6.027027027027027,37
663903,86.73478260869565,107.3,7.565217391304348,23
643338,86.69090909090909,102.1,24.181818181818183,11
643256,86.68571428571428,108.8,13.285714285714286,7
694297,86.66296296296296,114.4,19.333333333333332,27
660853,86.6,105.6,25.0,4
641835,86.53636363636363,109.5,23.454545454545453,11
650644,86.5142857142857,106.9,26.80952380952381,21
608032,86.47272727272728,98.5,47.36363636363637,11
663462,86.42,101.5,4.7,10
671922,86.28181818181818,106.9,5.2727272727272725,11
592332,86.20769230769231,109.7,23.384615384615383,13
669711,86.20625,110.4,9.3125,16
647336,86.18235294117646,113.3,14.088235294117647,34
642701,86.15555555555555,107.6,18.444444444444443,18
657044,86.15454545454546,109.8,6.7272727272727275,11
665625,86.15384615384616,102.0,17.307692307692307,13
681432,86.10000000000001,108.0,-1.6363636363636365,11
676974,86.07333333333334,106.9,6.666666666666667,45
666745,85.97857142857143,104.6,10.785714285714286,14
608723,85.94285714285715,101.3,19.5,14
668941,85.93333333333334,104.1,10.666666666666666,12
669302,85.916,112.4,10.6,25
593423,85.88965517241378,113.0,17.137931034482758,29
607067,85.859375,109.8,26.3125,32
668868,85.82068965517242,108.8,23.17241379310345,29
662253,85.78571428571429,108.1,13.071428571428571,14
641755,85.74736842105263,105.7,23.36842105263158,19
502043,85.7234375,112.7,10.625,64
641540,85.71428571428571,108.6,5.839285714285714,56
518585,85.7125,101.6,-8.625,8
622554,85.71000000000001,100.7,24.3,10
668674,85.57692307692308,108.2,7.461538461538462,13
607481,85.55000000000001,102.4,-0.25,4
600917,85.52352941176471,113.9,20.88235294117647,17
681676,85.51578947368421,109.9,16.57894736842105,19
640448,85.49090909090908,106.0,18.90909090909091,11
624647,85.42666666666668,106.5,21.533333333333335,15
694037,85.32,106.8,13.8,15
641154,85.31142857142858,104.4,22.571428571428573,35
672582,85.2909090909091,99.8,18.454545454545453,11
676272,85.23888888888888,106.7,42.666666666666664,18
808967,85.20434782608696,107.3,17.434782608695652,23
641401,85.17777777777778,104.4,26.88888888888889,9
547973,85.17142857142858,94.3,24.714285714285715,7
622075,85.0578947368421,109.9,17.0,19
593974,85.0,106.0,16.916666666666668,12
657277,84.99491525423728,109.1,8.661016949152541,59
608718,84.95833333333333,112.7,12.833333333333334,24
623167,84.94915254237289,107.8,16.89830508474576,59
594835,84.86349206349206,112.1,22.952380952380953,63
669952,84.84074074074073,116.7,12.666666666666666,27
684007,84.83061224489795,103.4,33.6530612244898,49
605135,84.82142857142857,109.5,21.142857142857142,28
650911,84.79615384615384,104.4,12.826923076923077,52
650633,84.75555555555556,111.7,15.74074074074074,27
592866,84.74615384615385,108.9,16.423076923076923,26
663542,84.74,106.5,2.4,5
606303,84.64999999999999,109.1,24.357142857142858,14
607074,84.61999999999999,110.6,19.057142857142857,35
669062,84.6,98.7,25.2,5
606160,84.55,101.8,20.3,10
670167,84.52272727272727,105.4,11.090909090909092,22
621051,84.5,99.6,9.4,5
676664,84.45116279069768,111.0,18.348837209302324,43
682847,84.42666666666668,108.0,10.533333333333333,15
656638,84.38181818181819,110.9,17.0,11
669169,84.34,108.0,-6.6,10
502085,84.33846153846154,102.3,26.46153846153846,13
665620,84.3125,105.9,34.1875,16
687014,84.30416666666666,105.3,29.791666666666668,24
656427,84.27916666666667,108.3,8.208333333333334,24
663855,84.24444444444445,107.1,12.222222222222221,36
612434,84.24347826086957,110.7,19.26086956521739,23
656234,84.24,108.0,0.2,15
