pitcher_id,pitcher_avg_exit_velocity_allowed,pitcher_max_exit_velocity_allowed,pitcher_batted_balls_allowed,pitcher_name
445276,81.84375,101.4,16,kenley jansen
445926,78.17777777777778,99.6,9,jesse chavez
450203,83.32333333333332,102.4,30,charlie morton
455119,80.15555555555555,98.9,18,chris martin
458677,73.1,79.1,7,justin wilson
458681,79.721875,108.4,32,lance lynn
471911,79.7764705882353,106.1,17,carlos carrasco
472610,87.38333333333333,102.7,6,luis garcía
489446,77.86666666666666,79.5,3,kirby yates
493603,68.725,105.9,8,adam ottavino
500779,82.86333333333333,106.8,30,jose quintana
502043,85.7234375,112.7,64,kyle gibson
502085,84.33846153846154,102.3,13,david robertson
502179,84.06153846153846,107.9,13,paolo espino
502624,77.44634146341464,112.8,41,chase anderson
506433,87.71785714285714,113.2,28,yu darvish
518489,81.46000000000001,102.3,15,ryan brasier
518585,85.7125,101.6,8,fernando cruz
518617,75.53999999999999,97.5,5,jake diekman
518876,81.94571428571429,108.9,35,merrill kelly
518886,82.98666666666666,104.3,15,craig kimbrel
519008,73.43636363636364,97.0,11,t. j. mcfarland
519043,82.05714285714285,104.6,14,matt moore
519151,81.71538461538461,104.4,13,ryan pressly
519242,75.56923076923077,109.1,39,chris sale
519293,80.85000000000001,110.5,12,will smith
523260,79.52666666666667,110.4,15,joe kelly
527048,82.94848484848485,106.0,33,martín pérez
542585,82.38125,108.2,16,josé cisnero
542881,80.92941176470588,106.6,34,tyler anderson
542882,83.98888888888888,108.8,9,matt andriese
542888,84.148,107.0,25,shawn armstrong
543056,74.47,94.3,10,danny coulombe
543135,77.0657894736842,96.0,38,nathan eovaldi
543294,82.37083333333334,109.2,24,kyle hendricks
543339,87.2875,112.0,8,daniel hudson
543351,76.61999999999999,103.0,15,jay jackson
543475,91.075,101.9,4,jordan lyles
543518,81.7764705882353,108.8,17,scott mcgough
543766,89.08235294117648,111.5,17,bryan shaw
543859,81.61052631578947,107.9,19,michael tonkin
547184,78.9235294117647,108.7,17,michael kelly
547973,85.17142857142858,94.3,7,aroldis chapman
548384,76.05555555555556,107.3,18,brooks raley
548389,81.58055555555556,106.0,36,ross stripling
552640,84.0,110.1,8,andrew kittredge
554340,87.86666666666667,100.4,6,yimi garcía
554430,83.00344827586207,109.2,29,zack wheeler
554431,76.06,91.4,10,tyler matzek
570257,75.64,90.0,5,joely rodríguez
570632,94.75,107.7,2,josé ureña
571578,83.01081081081081,107.8,37,patrick corbin
571656,81.98,105.4,20,buck farmer
571670,82.41818181818182,97.5,11,dylan floro
571760,79.09375,103.9,32,andrew heaney
571882,82.5030303030303,102.1,33,derek law
571927,75.50810810810812,98.8,37,steven matz
571945,78.47714285714285,104.7,35,miles mikolas
571946,81.44285714285715,96.0,7,shelby miller
571948,77.7375,106.5,16,hoby milner
572020,80.91818181818182,102.9,22,james paxton
572143,81.09545454545454,105.3,22,burch smith
572955,79.91176470588235,102.3,17,pierce johnson
573009,82.50526315789473,105.7,19,joe mantiply
573124,78.4,105.6,10,taylor rogers
573186,81.32352941176471,102.4,34,marcus stroman
579328,81.35384615384615,112.8,26,yusei kikuchi
592094,78.83636363636364,102.5,11,jason adam
592288,83.68947368421053,114.9,19,kent emanuel
592332,86.20769230769231,109.7,13,kevin gausman
592351,82.728,106.4,25,jon gray
592767,83.02941176470588,104.0,17,drew smyly
592773,89.14444444444445,109.6,9,ryne stanek
592779,75.30000000000001,95.0,9,brock stewart
592866,84.74615384615385,108.9,26,trevor williams
593423,85.88965517241378,113.0,29,frankie montas
593576,90.51666666666667,107.0,6,héctor neris
593934,87.35,91.4,2,miguel sanó
593974,85.0,106.0,12,wandy peralta
594835,84.86349206349206,112.1,63,marco gonzales
595345,66.45,71.3,2,steven okert
595881,81.55,103.7,10,tyler beede
595897,76.44285714285714,96.3,21,nick burdi
596001,80.07333333333332,105.4,15,jakob junis
596133,81.30499999999999,107.8,40,luke weaver
596295,80.10689655172413,107.0,29,austin gomber
598264,83.46666666666667,107.1,15,matt barnes
600917,85.52352941176471,113.9,17,josé leclerc
600986,77.4857142857143,107.9,21,thyago vieira
601713,82.20882352941176,108.4,34,nick pivetta
605130,83.06666666666666,100.6,9,scott barlow
605135,84.82142857142857,109.5,28,chris bassitt
605154,76.96666666666667,101.3,6,john brebbia
605177,72.96363636363637,93.6,11,andrew chafin
605280,80.8,102.8,11,clay holmes
605288,89.77777777777777,102.3,18,adrian houser
605347,75.74,105.8,15,jorge lópez
605397,80.34736842105262,109.3,19,joe musgrove
605400,80.59705882352942,102.0,34,aaron nola
605452,77.7,103.2,20,joe ross
605463,70.6,100.0,5,tayler scott
605513,82.69285714285715,104.9,28,spencer turnbull
606149,81.95714285714287,106.3,14,giovanny gallegos
606160,84.55,101.8,10,rafael montero
606303,84.64999999999999,109.1,14,joel payamps
606965,78.45,110.1,26,chris devenski
607067,85.859375,109.8,32,colin rea
607074,84.61999999999999,110.6,35,carlos rodón
607179,80.60588235294118,97.2,17,jordan weems
607192,80.86764705882354,106.5,34,tyler glasnow
607200,87.19333333333334,113.3,30,erick fedde
607259,84.1148148148148,107.3,27,nick martínez
607481,85.55000000000001,102.4,4,aaron bummer
607536,92.37272727272727,115.0,22,kyle freeland
607625,83.51515151515152,105.6,33,seth lugo
608032,86.47272727272728,98.5,11,carlos estévez
608331,83.10571428571428,114.4,35,max fried
608344,88.70645161290322,108.0,31,cole irvin
608371,77.7,89.5,3,lucas sims
608379,80.8,107.2,47,michael wacha
608678,81.23846153846154,105.9,13,dominic leone
608717,80.38333333333334,107.5,12,chris stratton
608718,84.95833333333333,112.7,24,brent suter
608723,85.94285714285715,101.3,14,austin voth
612434,84.24347826086957,110.7,23,miguel castro
613534,71.02857142857142,94.6,7,austin adams
615698,81.26285714285714,103.6,35,cal quantrill
620982,79.62222222222223,106.2,27,ricardo pinto
621016,88.0,108.5,20,josé cuas
621051,84.5,99.6,5,steven wilson
621097,88.60000000000001,105.5,7,jacob waguespack
621107,80.35000000000001,104.1,34,zach eflin
621112,79.03125,105.8,32,paul blackburn
621237,82.0375,103.3,16,josé alvarado
621242,77.12307692307692,99.1,13,edwin díaz
621244,86.87200000000001,108.2,25,josé berríos
621345,76.37272727272727,99.8,11,a. j. minter
621363,89.1375,109.3,16,colin poche
621366,89.525,99.4,4,ryan borucki
621381,80.06153846153846,106.2,13,matt strahm
621383,87.08333333333333,107.0,6,tanner banks
622072,82.69677419354838,109.3,31,alex wood
622075,85.0578947368421,109.9,19,yency almonte
622088,84.22222222222223,101.1,9,tejay antone
622098,79.82727272727273,108.9,11,drew smith
622250,96.6,97.8,2,josh sborz
622253,83.0625,112.9,8,dillon tate
622491,79.13953488372093,105.9,43,luis castillo
622554,85.71000000000001,100.7,10,seranthony domínguez
622663,83.10000000000001,103.0,34,luis severino
622766,89.83333333333333,100.6,6,miguel díaz
623167,84.94915254237289,107.8,59,chris flexen
623352,87.6923076923077,109.4,13,josh hader
623433,86.825,103.9,8,nick anderson
623465,79.17692307692307,101.9,13,evan phillips
624133,77.96129032258065,108.3,31,ranger suarez
624647,85.42666666666668,106.5,15,victor gonzález
625643,82.559375,106.2,32,reynaldo lópez
628317,77.40434782608695,107.3,23,kenta maeda
628452,79.15454545454546,104.3,11,raisel iglesias
628708,73.59411764705882,108.2,17,yunior marte
640448,85.49090909090908,106.0,11,kyle finnegan
640451,73.775,93.9,8,hunter harvey
640455,81.04814814814816,110.0,54,sean manaea
640462,79.78275862068965,104.3,29,a. j. puk
640470,80.0625,101.6,16,adbert alzolay
641149,87.02000000000001,105.4,10,wes parsons
