player_id,player_name,team
671096,Andrew Abbott,Cincinnati Reds
690953,Mick Abel,Minnesota Twins
691769,Philip Abner,Arizona Diamondbacks
682928,CJ Abrams,Washington Nationals
650556,Bryan Abreu,Houston Astros
677800,Wilyer Abreu,Boston Red Sox
691185,Maximo Acosta,Miami Marlins
670183,Garrett Acton,Tampa Bay Rays
682668,Luisangel Acuña,New York Mets
660670,Ronald Acuña Jr.,Atlanta Braves
592094,Jason Adam,San Diego Padres
642715,Willy Adames,San Francisco Giants
677941,Jordyn Adams,Baltimore Orioles
656180,Riley Adams,Washington Nationals
701519,Travis Adams,Minnesota Twins
686654,Ty Adcock,New York Mets
666176,Jo Adell,Los Angeles Angels
688642,Zach Agnos,Colorado Rockies
605113,Nick Ahmed,Texas Rangers
669211,Keegan Akin,Baltimore Orioles
645277,Ozzie Albies,Atlanta Braves
660896,Jorge Alcala,St. Louis Cardinals
682634,Kevin Alcántara,Chicago Cubs
645261,Sandy Alcantara,Miami Marlins
642727,Sergio Alcántara,San Francisco Giants
691951,Sam Aldegheri,Los Angeles Angels
677942,Blaze Alexander,Arizona Diamondbacks
680769,CJ Alexander,Athletics
669920,Jason Alexander,Houston Astros
518397,Scott Alexander,San Francisco Giants
641302,Tyler Alexander,Chicago White Sox
595751,Jorge Alfaro,Washington Nationals
663465,Kolby Allard,Cleveland Guardians
656185,Greg Allen,Baltimore Orioles
671106,Logan Allen,Cleveland Guardians
669397,Nick Allen,Atlanta Braves
624413,Pete Alonso,New York Mets
656186,Dan Altavilla,Chicago White Sox
514888,Jose Altuve,Houston Astros
665660,Elvis Alvarado,Athletics
621237,José Alvarado,Philadelphia Phillies
682626,Francisco Alvarez,New York Mets
805373,Nacho Alvarez Jr.,Atlanta Braves
674841,Andrew Alvarez,Washington Nationals
670541,Yordan Alvarez,Houston Astros
691182,Adael Amador,Colorado Rockies
676070,Jacob Amaya,Chicago White Sox
665804,Miguel Amaya,Chicago Cubs
681982,Grant Anderson,Milwaukee Brewers
666120,Ian Anderson,Los Angeles Angels
623433,Nick Anderson,Colorado Rockies
641312,Shaun Anderson,Los Angeles Angels
641313,Tim Anderson,Los Angeles Angels
542881,Tyler Anderson,Los Angeles Angels
609280,Miguel Andujar,Cincinnati Reds
701350,Roman Anthony,Boston Red Sox
