team,runs_per_game,team_avg_x,team_obp_x,team_slg_x,team_ops_x,team_strikeouts_x,team_era_x,team_whip_x,team_pitching_k9_x,team_pitching_hr9_x,team_avg_y,team_obp_y,team_slg_y,team_ops_y,team_strikeouts_y,team_era_y,team_whip_y,team_pitching_k9_y,team_pitching_hr9_y
Arizona Diamondbacks,4.882716049382716,0.251,0.325,0.433,0.758,1316.0,,,,,0.251,0.325,0.433,0.758,1316.0,,,,
Arizona Diamondbacks,4.882716049382716,0.251,0.325,0.433,0.758,1316.0,,,,,,,,,,4.49,1.32,8.03,1.22
Arizona Diamondbacks,,,,,,,4.49,1.32,8.03,1.22,0.251,0.325,0.433,0.758,1316.0,,,,
Arizona Diamondbacks,,,,,,,4.49,1.32,8.03,1.22,,,,,,4.49,1.32,8.03,1.22
Athletics,4.5246913580246915,0.253,0.318,0.431,0.749,1406.0,,,,,0.253,0.318,0.431,0.749,1406.0,,,,
Athletics,4.5246913580246915,0.253,0.318,0.431,0.749,1406.0,,,,,,,,,,4.7,1.36,8.28,1.39
Athletics,,,,,,,4.7,1.36,8.28,1.39,0.253,0.318,0.431,0.749,1406.0,,,,
Athletics,,,,,,,4.7,1.36,8.28,1.39,,,,,,4.7,1.36,8.28,1.39
Atlanta Braves,4.469135802469136,0.245,0.32,0.399,0.719,1371.0,,,,,0.245,0.32,0.399,0.719,1371.0,,,,
Atlanta Braves,4.469135802469136,0.245,0.32,0.399,0.719,1371.0,,,,,,,,,,4.36,1.31,8.86,1.23
Atlanta Braves,,,,,,,4.36,1.31,8.86,1.23,0.245,0.32,0.399,0.719,1371.0,,,,
Atlanta Braves,,,,,,,4.36,1.31,8.86,1.23,,,,,,4.36,1.31,8.86,1.23
Baltimore Orioles,4.179012345679013,0.235,0.305,0.394,0.699,1457.0,,,,,0.235,0.305,0.394,0.699,1457.0,,,,
Baltimore Orioles,4.179012345679013,0.235,0.305,0.394,0.699,1457.0,,,,,,,,,,4.6,1.37,8.49,1.36
Baltimore Orioles,,,,,,,4.6,1.37,8.49,1.36,0.235,0.305,0.394,0.699,1457.0,,,,
Baltimore Orioles,,,,,,,4.6,1.37,8.49,1.36,,,,,,4.6,1.37,8.49,1.36
Boston Red Sox,4.851851851851852,0.254,0.324,0.421,0.745,1419.0,,,,,0.254,0.324,0.421,0.745,1419.0,,,,
Boston Red Sox,4.851851851851852,0.254,0.324,0.421,0.745,1419.0,,,,,,,,,,3.7,1.29,8.46,1.02
Boston Red Sox,,,,,,,3.7,1.29,8.46,1.02,0.254,0.324,0.421,0.745,1419.0,,,,
Boston Red Sox,,,,,,,3.7,1.29,8.46,1.02,,,,,,3.7,1.29,8.46,1.02
Chicago Cubs,4.895061728395062,0.249,0.32,0.43,0.75,1277.0,,,,,0.249,0.32,0.43,0.75,1277.0,,,,
Chicago Cubs,4.895061728395062,0.249,0.32,0.43,0.75,1277.0,,,,,,,,,,3.79,1.18,7.93,1.27
Chicago Cubs,,,,,,,3.79,1.18,7.93,1.27,0.249,0.32,0.43,0.75,1277.0,,,,
Chicago Cubs,,,,,,,3.79,1.18,7.93,1.27,,,,,,3.79,1.18,7.93,1.27
Chicago White Sox,3.993827160493827,0.232,0.302,0.373,0.675,1364.0,,,,,0.232,0.302,0.373,0.675,1364.0,,,,
